Time,c,energy
0,14.2423,1.7194
4,14.5289,1.66357
8,14.9261,1.69914
12,15.384,1.70661
16,15.8721,1.6987
20,16.3744,1.68413
24,16.8832,1.66675
28,17.395,1.64812
32,17.9081,1.62885
36,18.4219,1.60917
40,18.9361,1.58918
44,19.4506,1.5689
48,19.9653,1.54833
52,20.4803,1.52748
56,20.9955,1.50632
60,21.5109,1.48485
64,22.0266,1.46305
68,22.5426,1.44092
72,23.059,1.41842
76,23.5756,1.39554
80,24.0925,1.37227
84,24.6099,1.34858
88,25.1276,1.32445
92,25.6457,1.29985
96,26.1643,1.27474
100,26.6834,1.24911
104,27.2031,1.22292
108,27.7233,1.19612
112,28.2442,1.16866
116,28.7658,1.14051
120,29.2882,1.1116
124,29.8115,1.08186
128,30.3358,1.05122
132,30.8612,1.01958
136,31.3879,0.986852
140,31.9161,0.952892
144,32.446,0.917552
148,32.978,0.880641
152,33.5125,0.841918
156,34.0501,0.801072
160,34.5916,0.757685
164,35.1382,0.711173
168,35.6918,0.660673
172,36.2557,0.604781
176,36.8366,0.540892
180,37.4495,0.462847
184,38.1384,0.347694
188,38.8427,0.14721
192,39.2394,0.026177
196,39.3958,0.00303559
200,39.4506,0.000310261
